artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Blue;One Love;207186;2002;95.012;pop;0.722;8;-4.039
Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";264893;2001;109.919;pop;0.801;5;-3.769
Britney Spears;Overprotected - Radio Edit;198600;2001;95.992;pop;0.894;0;-1.73
Sonique;It Feels So Good;240866;2000;135.012;pop;0.677;5;-7.278
Kaiser Chiefs;I Predict A Riot;233186;2005;158.842;rock;0.979;8;-3.241
Arctic Monkeys;When The Sun Goes Down;202133;2006;169.152;rock;0.875;11;-4.758
Sean Kingston;Fire Burning;239986;2009;122.973;hip hop, pop, R&B;0.804;1;-2.513
5 Seconds of Summer;Youngblood;203417;2018;120.274;pop;0.854;7;-5.114
Meghan Trainor;All About That Bass;187920;2015;134.052;pop;0.887;9;-3.726
Joel Adams;Please Don't Go;210580;2015;84.264;R&B;0.768;4;-4.868
blink-182;All The Small Things;167066;1999;148.726;rock, pop;0.897;0;-4.918
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
Youngbloodz;Damn! (feat. Lil' Jon) - Club Mix;298600;2003;84.038;hip hop, pop;0.724;6;-5.799
Default;Wasting My Time;268693;2001;147.973;rock, pop, metal;0.769;2;-5.529
Beyoncé;Me, Myself and I;301133;2003;83.61;pop, R&B;0.458;1;-9.092
Arctic Monkeys;Why'd You Only Call Me When You're High?;161123;2013;92.004;rock;0.631;2;-6.478
Fergie;London Bridge;241306;2006;90.951;pop, R&B;0.609;1;-5.894
Young Thug;The London (feat. J. Cole & Travis Scott);200106;2019;97.981;hip hop, pop;0.586;4;-6.946
Ne-Yo;Because Of You;266840;2007;109.97;pop, R&B;0.538;0;-5.784
Avril Lavigne;What the Hell;220706;2011;149.976;pop;0.926;6;-3.689
Kent Jones;Don't Mind;198236;2016;158.777;hip hop;0.771;8;-4.503
Rihanna;Shut Up And Drive;212280;2008;132.964;hip hop, pop, R&B;0.826;1;-4.902
Miguel;Sure Thing;195373;2010;81.001;pop, R&B;0.607;11;-8.127
Timbaland;The Way I Are;179120;2007;114.759;hip hop, pop, R&B;0.807;3;-6.492
Rachel Stevens;Sweet Dreams My LA Ex - Radio Edit;208386;2003;130.036;pop, Dance/Electronic;0.862;2;-3.587
Monica;So Gone;242773;2003;81.975;pop, R&B;0.552;8;-6.863
Rob $tone;Chill Bill (feat. J. Davi$ & Spooks);177184;2016;108.034;hip hop;0.427;6;-10.028
Starley;Call on Me - Ryan Riback Remix;222040;2016;105.0;pop, Dance/Electronic;0.838;0;-4.031
Avicii;Lonely Together (feat. Rita Ora);181812;2017;102.977;pop, Dance/Electronic;0.666;5;-5.309
Liam Payne;For You (Fifty Shades Freed) (& Rita Ora);245453;2018;113.0;pop;0.787;2;-4.618
